"Rank","Gene","Relevance_score"
"1","BRCA2","341.962677001953"
"2","BRCA1","324.369018554688"
"3","ATM","278.408203125"
"4","TP53","244.12272644043"
"5","RET","241.956512451172"
"6","PALB2","225.560516357422"
"7","CHEK2","218.490615844727"
"8","BRAF","210.295776367188"
"9","APC","204.783645629883"
"10","PTEN","203.642730712891"
"11","BRIP1","201.690734863281"
"12","MSH6","199.329528808594"
"13","MSH2","197.957229614258"
"14","MLH1","197.947662353516"
"15","CDH1","191.918884277344"
"16","EGFR","188.979293823242"
"17","BARD1","182.401031494141"
"18","DICER1","170.547790527344"
"19","PMS2","163.103881835938"
"20","C11orf65","161.814666748047"
"21","NF1","153.956726074219"
"22","TG","147.805892944336"
"23","POLD1","146.287734985352"
"24","ALK","143.491806030273"
"25","THRB","143.056854248047"
"26","POLE","141.451858520508"
"27","NKX2-1","135.947723388672"
"28","ERBB2","135.232315063477"
"29","AXIN2","134.707824707031"
"30","HRAS","134.007507324219"
"31","TSC2","131.655746459961"
"32","CDKN2A","131.617630004883"
"33","MET","130.782150268555"
"34","PIK3CA","128.33024597168"
"35","TSHR","126.651718139648"
"36","KRAS","126.505676269531"
"37","RAD50","125.768516540527"
"38","STK11","124.130432128906"
"39","TPO","121.713203430176"
"40","PTCH1","119.968276977539"
"41","MEN1","119.107498168945"
"42","MUTYH","118.028167724609"
"43","SMARCA4","117.063537597656"
"44","SMAD4","116.878471374512"
"45","AKT1","116.554550170898"
"46","PAX8","116.15796661377"
"47","TERT","116.135871887207"
"48","NBN","114.804008483887"
"49","NRAS","114.068725585938"
"50","RB1","113.756080627441"
"51","RAD51D","113.342269897461"
"52","LOC126862571","113.187561035156"
"53","MSH3","111.901260375977"
"54","RAD51C","111.834968566895"
"55","CTNNB1","109.177658081055"
"56","BAP1","108.079856872559"
"57","BLM","107.123863220215"
"58","CDKN1B","106.258834838867"
"59","KIT","105.329452514648"
"60","CTNNA1","101.190353393555"
"61","H19","100.699043273926"
"62","EPCAM","100.304183959961"
"63","TSC1","99.6028823852539"
"64","FOXE1","98.7891159057617"
"65","CDK4","97.094367980957"
"66","PDGFRA","97.0165100097656"
"67","BMPR1A","96.8320770263672"
"68","SDHA","96.1698379516602"
"69","MRE11","96.0371704101563"
"70","ESR1","95.4309387207031"
"71","PRKAR1A","95.0407791137695"
"72","FLCN","94.1488494873047"
"73","RAD51L3-RFFL","93.7765655517578"
"74","SDHB","90.9931411743164"
"75","NTRK1","89.0879058837891"
"76","VHL","88.9527893066406"
"77","RUNX1","88.5396423339844"
"78","CCND1","88.5223999023438"
"79","FH","87.9557495117188"
"80","DUOX2","86.2677688598633"
"81","MTOR","85.1549758911133"
"82","FANCC","84.5630187988281"
"83","STAT3","84.3560562133789"
"84","MYC","84.084358215332"
"85","THRA","83.6072311401367"
"86","SLC5A5","81.8798522949219"
"87","PVT1","81.1344223022461"
"88","CTLA4","80.2641830444336"
"89","SDHD","79.7461624145508"
"90","GAS5","79.6124038696289"
"91","HOXB13","78.1041107177734"
"92","FGFR2","78.0863265991211"
"93","CD274","77.7406997680664"
"94","LZTR1","77.488639831543"
"95","UCA1","76.2318572998047"
"96","MLH3","76.0530776977539"
"97","SLC26A4","74.6208038330078"
"98","AR","74.3010787963867"
"99","NTHL1","74.2009811401367"
"100","HIF1A","73.9736862182617"
"101","SDHC","72.8556518554688"
"102","NF2","72.7066040039063"
"103","FGFR3","72.6752853393555"
"104","GNAS","72.6610488891602"
"105","PPARG","72.4641952514648"
"106","CDC73","72.3251419067383"
"107","TSHB","72.2585525512695"
"108","SMARCB1","71.5641784667969"
"109","POT1","71.3042984008789"
"110","ATR","71.0195159912109"
"111","MDM2","70.873649597168"
"112","NEAT1","70.5686187744141"
"113","MIR221","70.3014373779297"
"114","MIR21","69.8097839355469"
"115","MALAT1","69.1435089111328"
"116","HOTAIR","69.0848236083984"
"117","VEGFA","68.9668350219727"
"118","CDKN2B-AS1","68.4282760620117"
"119","TGFBR2","67.8551330566406"
"120","FGFR1","67.3163604736328"
"121","CASC2","66.9572067260742"
"122","MIR222","66.6417541503906"
"123","BCL2","65.5153045654297"
"124","AFAP1-AS1","65.4914627075195"
"125","TMEM127","65.3711395263672"
"126","IL6","64.993293762207"
"127","MIR146A","64.8144836425781"
"128","XRCC2","64.4677047729492"
"129","HOTAIRM1","64.3622894287109"
"130","SUFU","64.0909652709961"
"131","NOTCH1","63.5383796691895"
"132","WRN","63.5259780883789"
"133","RAD51","62.9933586120605"
"134","SNHG1","62.1601600646973"
"135","MIR17","62.0308036804199"
"136","TGFB1","61.5269203186035"
"137","HULC","61.502685546875"
"138","CASP8","61.3457489013672"
"139","SDHAF2","61.2743606567383"
"140","ARID1A","60.7607460021973"
"141","BAX","60.7275466918945"
"142","SFTA3","60.5701446533203"
"143","MAP2K1","60.3681716918945"
"144","AOPEP","59.6089477539063"
"145","PDCD1","59.6061248779297"
"146","SRC","59.4809265136719"
"147","CDKN1A","59.4131088256836"
"148","FASLG","59.3410797119141"
"149","CASC15","59.0210952758789"
"150","ERCC2","58.6390991210938"
"151","CASC9","58.2874183654785"
"152","GREM1","58.1245956420898"
"153","LRRC56","57.965145111084"
"154","LINC00673","57.6755027770996"
"155","SNHG7","57.3454742431641"
"156","AIP","57.3359375"
"157","HAGLR","57.2514877319336"
"158","MAX","57.0974655151367"
"159","EZH2","56.6943244934082"
"160","HABP2","56.6264419555664"
"161","DANCR","56.6077117919922"
"162","XIST","56.433349609375"
"163","FANCM","56.2388229370117"
"164","NTRK3","55.9624404907227"
"165","CHEK1","55.7503204345703"
"166","FAS","55.6715240478516"
"167","CCAT2","55.2358665466309"
"168","RECQL4","55.2157402038574"
"169","MIR30A","55.1857147216797"
"170","PMS1","55.0151901245117"
"171","EP300","54.9935493469238"
"172","CYTOR","54.9282531738281"
"173","GAS8-AS1","54.8370208740234"
"174","MIR145","54.4777145385742"
"175","FOXD2-AS1","54.4755592346191"
"176","MAPK1","54.4028244018555"
"177","BUB1B","54.3562889099121"
"178","MIR146B","54.1777420043945"
"179","MITF","54.0282974243164"
"180","ERBB3","53.8957099914551"
"181","SRGAP1","53.6976890563965"
"182","CXCR4","53.6537628173828"
"183","ITCH","53.4562377929688"
"184","IGF1R","53.0658836364746"
"185","PIK3R1","53.0161247253418"
"186","MIR125A","52.9988479614258"
"187","SLC16A2","52.8168144226074"
"188","MUC16","52.645435333252"
"189","IL1B","52.5759353637695"
"190","ZFAS1","52.556209564209"
"191","DGCR5","51.9646072387695"
"192","MUC1","51.9495391845703"
"193","IGF1","51.9350891113281"
