Variable,Category_or_statistic,Value,Denominator,Percent,Notes,,,,,,,,
Cohort size,Patients / matched tumor-adjacent pairs,15,15,100,15 biological pairs,,,,,,,,
Age (years),Mean ± SD,49.0 ± 11.9,15,,,,,,,,,,
Age (years),Median (IQR); range,49.0 (42.0-56.5); 27-70,15,,,,,,,,,,
BMI (kg/m²),Mean ± SD,25.1 ± 3.7,15,,Derived from recorded height and weight,,,,,,,,
Sex,Female,9,15,60,n (%),,,,,,,,
Sex,Male,6,15,40,n (%),,,,,,,,
Postoperative histopathology,Papillary thyroid carcinoma,15,15,100,n (%),,,,,,,,
Pathologic T category,pT1a,9,15,60,"AJCC8 size category: pT1a ≤1 cm; pT1b >1 to ≤2 cm; pT2 >2 to ≤4 cm, limited to the thyroid. Exact continuous diameters were not inferred.",,,,,,,,
Pathologic T category,pT1b,5,15,33.33333333333333,"AJCC8 size category: pT1a ≤1 cm; pT1b >1 to ≤2 cm; pT2 >2 to ≤4 cm, limited to the thyroid. Exact continuous diameters were not inferred.",,,,,,,,
Pathologic T category,pT2,1,15,6.666666666666667,"AJCC8 size category: pT1a ≤1 cm; pT1b >1 to ≤2 cm; pT2 >2 to ≤4 cm, limited to the thyroid. Exact continuous diameters were not inferred.",,,,,,,,
Pathologic N category,pN1a,7,15,46.666666666666664,n (%),,,,,,,,
Pathologic N category,pN0,6,15,40,n (%),,,,,,,,
Pathologic N category,pN1b,2,15,13.333333333333334,n (%),,,,,,,,
Pathologic M category,M0,15,15,100,n (%),,,,,,,,
Hashimoto thyroiditis recorded,No,12,15,80,n (%),,,,,,,,
Hashimoto thyroiditis recorded,Yes,3,15,20,n (%),,,,,,,,
Capsular invasion recorded,Yes,10,15,66.66666666666666,n (%),,,,,,,,
Capsular invasion recorded,No,5,15,33.33333333333333,n (%),,,,,,,,
Vascular invasion recorded,No,14,15,93.33333333333333,n (%),,,,,,,,
Vascular invasion recorded,Yes,1,15,6.666666666666667,n (%),,,,,,,,
Perineural invasion recorded,No,15,15,100,n (%),,,,,,,,
BRAF-positive record,Yes,13,15,86.66666666666667,n (%),,,,,,,,
BRAF-positive record,No,2,15,13.333333333333334,n (%),,,,,,,,
Tumor specimen available,Yes,15,15,100,n (%),,,,,,,,
Adjacent specimen available,Yes,15,15,100,n (%),,,,,,,,
AJCC8_stage_group,Stage I,14,15,93.3,"Derived from age and the supplied pT, pN, and M categories using AJCC eighth-edition differentiated-thyroid-cancer rules.",,,,,,,,
AJCC8_stage_group,Stage II,1,15,6.7,"Derived from age and the supplied pT, pN, and M categories using AJCC eighth-edition differentiated-thyroid-cancer rules.",,,,,,,,
