Gene,CTD_literature_curated,TargetNet_predicted,SwissTargetPrediction_predicted,Evidence_class,Source_pattern,Candidate7,Core_candidate_gene
ACHE,Yes,No,Yes,CTD-curated + predicted,CTD + SwissTargetPrediction,No,No
ACTA2,Yes,No,No,CTD-curated,CTD,No,No
ADORA3,No,No,Yes,Prediction-only,SwissTargetPrediction,No,No
ADRA2A,No,No,Yes,Prediction-only,SwissTargetPrediction,No,No
ADRA2B,No,No,Yes,Prediction-only,SwissTargetPrediction,No,No
ADRB3,No,No,Yes,Prediction-only,SwissTargetPrediction,No,No
AKT1,Yes,No,No,CTD-curated,CTD,No,No
ALPL,No,Yes,No,Prediction-only,TargetNet,No,No
ANPEP,No,Yes,No,Prediction-only,TargetNet,No,No
APOBEC3A,No,Yes,No,Prediction-only,TargetNet,No,No
AREG,Yes,No,No,CTD-curated,CTD,No,No
Adra2c,No,Yes,Yes,Prediction-only,TargetNet + SwissTargetPrediction,No,No
Alox5,No,Yes,No,Prediction-only,TargetNet,No,No
BAX,Yes,No,No,CTD-curated,CTD,Yes,Yes
BCL2,Yes,No,No,CTD-curated,CTD,Yes,Yes
BCL2A1,No,Yes,No,Prediction-only,TargetNet,No,No
BECN1,Yes,No,No,CTD-curated,CTD,No,No
CA6,No,Yes,No,Prediction-only,TargetNet,No,No
CASP3,Yes,No,No,CTD-curated,CTD,No,No
CASP3A,Yes,No,No,CTD-curated,CTD,No,No
CASP3B,Yes,No,No,CTD-curated,CTD,No,No
CASP8,Yes,No,No,CTD-curated,CTD,No,No
CASP9,Yes,Yes,No,CTD-curated + predicted,CTD + TargetNet,No,No
CASR,No,Yes,No,Prediction-only,TargetNet,No,No
CAT,Yes,No,No,CTD-curated,CTD,No,No
CCL2,Yes,No,No,CTD-curated,CTD,No,No
CDC25B,No,Yes,No,Prediction-only,TargetNet,No,No
CDH1,Yes,No,No,CTD-curated,CTD,No,No
CDKN1A,Yes,No,No,CTD-curated,CTD,Yes,No
CDKN2A,Yes,No,No,CTD-curated,CTD,No,No
CES1,No,Yes,Yes,Prediction-only,TargetNet + SwissTargetPrediction,No,No
CES2,No,Yes,No,Prediction-only,TargetNet,No,No
CHRM1,No,No,Yes,Prediction-only,SwissTargetPrediction,No,No
CHRM2,No,No,Yes,Prediction-only,SwissTargetPrediction,No,No
CHRM3,No,No,Yes,Prediction-only,SwissTargetPrediction,No,No
CNR1,No,No,Yes,Prediction-only,SwissTargetPrediction,No,No
CNR2,No,No,Yes,Prediction-only,SwissTargetPrediction,No,No
COL1A1,Yes,No,No,CTD-curated,CTD,Yes,No
COL3A1,Yes,No,No,CTD-curated,CTD,No,No
CTSG,No,Yes,No,Prediction-only,TargetNet,No,No
CXCL1,Yes,No,No,CTD-curated,CTD,No,No
CXCL8,Yes,No,No,CTD-curated,CTD,Yes,No
CXCR2,No,Yes,No,Prediction-only,TargetNet,No,No
CYCS,Yes,No,No,CTD-curated,CTD,No,No
CYP17A1,No,Yes,No,Prediction-only,TargetNet,No,No
CYP19A1,No,Yes,No,Prediction-only,TargetNet,No,No
CYP1A2,No,Yes,No,Prediction-only,TargetNet,No,No
