Gene,GeneCards_rank,GeneCards_relevance_score,In_GeneCards_top2000,In_OMIM,Disease_source_pattern
BRCA2,1,341.962677001953,Yes,No,"GeneCards top 2,000"
BRCA1,2,324.369018554688,Yes,No,"GeneCards top 2,000"
ATM,3,278.408203125,Yes,No,"GeneCards top 2,000"
TP53,4,244.12272644043,Yes,No,"GeneCards top 2,000"
RET,5,241.956512451172,Yes,No,"GeneCards top 2,000"
PALB2,6,225.560516357422,Yes,No,"GeneCards top 2,000"
CHEK2,7,218.490615844727,Yes,No,"GeneCards top 2,000"
BRAF,8,210.295776367188,Yes,No,"GeneCards top 2,000"
APC,9,204.783645629883,Yes,No,"GeneCards top 2,000"
PTEN,10,203.642730712891,Yes,No,"GeneCards top 2,000"
BRIP1,11,201.690734863281,Yes,No,"GeneCards top 2,000"
MSH6,12,199.329528808594,Yes,No,"GeneCards top 2,000"
MSH2,13,197.957229614258,Yes,No,"GeneCards top 2,000"
MLH1,14,197.947662353516,Yes,No,"GeneCards top 2,000"
CDH1,15,191.918884277344,Yes,No,"GeneCards top 2,000"
EGFR,16,188.979293823242,Yes,No,"GeneCards top 2,000"
BARD1,17,182.401031494141,Yes,No,"GeneCards top 2,000"
DICER1,18,170.547790527344,Yes,No,"GeneCards top 2,000"
PMS2,19,163.103881835938,Yes,No,"GeneCards top 2,000"
C11ORF65,20,161.814666748047,Yes,No,"GeneCards top 2,000"
NF1,21,153.956726074219,Yes,No,"GeneCards top 2,000"
TG,22,147.805892944336,Yes,No,"GeneCards top 2,000"
POLD1,23,146.287734985352,Yes,No,"GeneCards top 2,000"
ALK,24,143.491806030273,Yes,No,"GeneCards top 2,000"
THRB,25,143.056854248047,Yes,No,"GeneCards top 2,000"
POLE,26,141.451858520508,Yes,No,"GeneCards top 2,000"
NKX2-1,27,135.947723388672,Yes,No,"GeneCards top 2,000"
ERBB2,28,135.232315063477,Yes,No,"GeneCards top 2,000"
AXIN2,29,134.707824707031,Yes,No,"GeneCards top 2,000"
HRAS,30,134.007507324219,Yes,No,"GeneCards top 2,000"
TSC2,31,131.655746459961,Yes,No,"GeneCards top 2,000"
CDKN2A,32,131.617630004883,Yes,No,"GeneCards top 2,000"
MET,33,130.782150268555,Yes,No,"GeneCards top 2,000"
PIK3CA,34,128.33024597168,Yes,No,"GeneCards top 2,000"
TSHR,35,126.651718139648,Yes,No,"GeneCards top 2,000"
KRAS,36,126.505676269531,Yes,No,"GeneCards top 2,000"
RAD50,37,125.768516540527,Yes,No,"GeneCards top 2,000"
