Gene.symbol,Probe_count,Representative_probe,logFC,adj.P.Val,P.Value,DEG_status,Direction_consistency,All_probe_IDs
MMRN1,1,205612_at,-4.24937696,4.5499999999999995e-34,8.33e-39,Down,Down,205612_at
LYVE1,2,219059_s_at,-3.33827134,2.95e-30,1.27e-34,Down,Down,219059_s_at|220037_s_at
SHROOM4,2,244825_at,2.07690004,2.95e-30,1.6199999999999998e-34,Up,Up,244825_at|232404_at
HMGA2,2,208025_s_at,5.37560888,3.31e-28,3.35e-32,Up,Up,208025_s_at|1567224_at
ENTPD1,4,228585_at,3.55710743,3.31e-28,3.63e-32,Up,Up,228585_at|209473_at|209474_s_at|207691_x_at
GABRB2,2,242344_at,5.96463384,3.92e-28,5.740000000000001e-32,Up,Up,242344_at|1557122_s_at
DPT,3,207977_s_at,-2.00952821,3.92e-28,5.24e-32,Down,Down,207977_s_at|213071_at|213068_at
TENM1,1,205728_at,4.6143558,6.48e-28,1.07e-31,Up,Up,205728_at
CDH6,4,214803_at,3.13291361,7.09e-28,1.4300000000000001e-31,Up,Up,214803_at|205532_s_at|210602_s_at|205533_s_at
AOX1,2,205083_at,-2.90856588,1.4200000000000001e-27,3.13e-31,Down,Down,205083_at|205082_s_at
ART4,2,242496_at,-1.92298548,2.0600000000000002e-27,4.89e-31,Down,Down,242496_at|207220_at
NPC2,1,200701_at,1.62796108,2.3800000000000002e-27,6.11e-31,Up,Up,200701_at
LIPH,2,235871_at,2.09533977,2.7000000000000002e-27,7.4e-31,Up,Up,235871_at|241898_at
ADH1B,2,209612_s_at,-3.48992471,3.03e-27,8.87e-31,Down,Down,209612_s_at|209613_s_at
PROS1,1,207808_s_at,2.63191263,3.0900000000000003e-27,9.6e-31,Up,Up,207808_s_at
ZMAT3,5,219628_at,1.91138758,3.6300000000000006e-27,1.2000000000000001e-30,Up,Up,219628_at|227221_at|225725_at|228315_at|1555609_a_at
RELN,1,205923_at,-2.53990687,5.490000000000001e-27,2.0099999999999997e-30,Down,Down,205923_at
RXRG,1,205954_at,3.73007902,5.53e-27,2.12e-30,Up,Up,205954_at
HEY2,2,222921_s_at,2.64432164,9.56e-27,3.8499999999999996e-30,Up,Up,222921_s_at|219743_at
LRP4,1,212850_s_at,4.42930771,1.63e-26,7.07e-30,Up,Up,212850_s_at
RYR2,2,214044_at,-2.3714947,1.63e-26,7.27e-30,Down,Down,214044_at|207557_s_at
SDC4,1,202071_at,2.27277218,1.63e-26,7.43e-30,Up,Up,202071_at
RYR1,1,205485_at,2.84911476,1.72e-26,8.17e-30,Up,Up,205485_at
GALE,1,202528_at,2.21664376,2.66e-26,1.31e-29,Up,Up,202528_at
LRRN4CL,1,1556427_s_at,-1.68587343,2.77e-26,1.42e-29,Down,Down,1556427_s_at
EPS8,1,202609_at,1.89050393,3.62e-26,1.9900000000000002e-29,Up,Up,202609_at
NHSL2,1,227618_at,2.07752181,5.31e-26,3.01e-29,Up,Up,227618_at
COL13A1,1,211343_s_at,2.83633091,5.48e-26,3.21e-29,Up,Up,211343_s_at
TFPI,4,210664_s_at,-2.10779085,6.49e-26,4.0400000000000003e-29,Down,Down,210664_s_at|210665_at|209676_at|213258_at
MPZL2,3,203780_at,2.30171034,6.75e-26,4.3200000000000004e-29,Up,Up,203780_at|230518_at|203779_s_at
OCA2,1,206498_at,-2.22722208,8.98e-26,6.08e-29,Down,Down,206498_at
CDH3,1,203256_at,2.77224397,1.28e-25,8.880000000000001e-29,Up,Up,203256_at
CDH16,1,206517_at,-2.93016427,1.95e-25,1.43e-28,Down,Down,206517_at
NRCAM,1,204105_s_at,2.39296678,2.02e-25,1.55e-28,Up,Up,204105_s_at
LRRK2,1,229584_at,4.26007227,2.3e-25,1.9000000000000003e-28,Up,Up,229584_at
TFF3,1,204623_at,-4.10800692,2.3e-25,1.94e-28,Down,Down,204623_at
DPP4,3,203717_at,3.53028674,2.3e-25,1.8899999999999999e-28,Up,Up,203717_at|211478_s_at|203716_s_at
TNIK,3,211828_s_at,2.16000355,2.58e-25,2.22e-28,Up,Up,211828_s_at|213107_at|213109_at
PRR15,1,226961_at,4.82006125,3.24e-25,2.8499999999999997e-28,Up,Up,226961_at
SIPA1L2,2,225056_at,1.70337863,3.38e-25,3.15e-28,Up,Up,225056_at|233587_s_at
KLHL4,1,214591_at,-1.38068176,3.38e-25,3.0899999999999998e-28,Down,Down,214591_at
LPAR5,2,230252_at,3.16013791,3.4e-25,3.23e-28,Up,Up,230252_at|231788_at
GALNT7,2,218313_s_at,1.93492698,3.59e-25,3.48e-28,Up,Up,218313_s_at|222587_s_at
SYTL5,2,242093_at,4.21823952,3.6599999999999997e-25,3.61e-28,Up,Up,242093_at|1553033_at
LRP1B,1,219643_at,-3.43975196,3.81e-25,3.8299999999999997e-28,Down,Down,219643_at
FN1,7,212464_s_at,3.06847306,3.97e-25,4.07e-28,Up,Up,212464_s_at|216442_x_at|210495_x_at|211719_x_at|214701_s_at|214702_at|1558199_at
TUSC3,4,213423_x_at,2.92478718,3.9799999999999998e-25,4.15e-28,Up,Up,213423_x_at|209228_x_at|235801_at|209227_at
DUSP4,3,204014_at,3.18614262,4.51e-25,4.78e-28,Up,Up,204014_at|226034_at|204015_s_at
STK32A,3,229866_at,2.401876,4.59e-25,4.95e-28,Up,Up,229866_at|239353_at|1553938_a_at
SERPINA1,3,211429_s_at,3.56638298,5.57e-25,6.11e-28,Up,Up,211429_s_at|202833_s_at|230318_at
PLSCR4,1,218901_at,-1.47231263,5.59e-25,6.23e-28,Down,Down,218901_at
PLA2R1,4,235746_s_at,-3.05631999,5.74e-25,6.72e-28,Down,Down,235746_s_at|207415_at|240039_at|210194_at
GLT1D1,1,229770_at,1.97915578,5.74e-25,6.7e-28,Up,Up,229770_at
METTL7B,1,227055_at,3.23888744,7.93e-25,1e-27,Up,Up,227055_at
MYEF2,4,229464_at,1.46674873,8.75e-25,1.14e-27,Up,Up,229464_at|222771_s_at|232676_x_at|222772_at
DLG2,2,228973_at,-1.92703412,1.07e-24,1.4500000000000002e-27,Down,Down,228973_at|206253_at
XPR1,2,222581_at,1.52738341,1.24e-24,1.7000000000000002e-27,Up,Up,222581_at|226615_at
GLT8D2,2,221447_s_at,-2.20948157,1.36e-24,1.9400000000000003e-27,Down,Down,221447_s_at|227070_at
ABR,2,212895_s_at,1.36843516,1.36e-24,1.9100000000000003e-27,Up,Up,212895_s_at|214671_s_at
PHLDA3,2,235534_at,1.39042604,1.38e-24,1.99e-27,Up,Up,235534_at|218634_at
AMIGO2,1,222108_at,2.62287953,1.44e-24,2.11e-27,Up,Up,222108_at
TGFA,1,205016_at,2.56404501,1.44e-24,2.18e-27,Up,Up,205016_at
LOC101927705,1,202733_at,1.81887822,1.44e-24,2.1300000000000002e-27,Up,Up,202733_at
