ID,adj.P.Val,P.Value,t,B,logFC,Gene.symbol,Gene.title,neg_log10_adjP,DEG_status
205612_at,4.5499999999999995e-34,8.33e-39,-21.8706462,77.6229137,-4.24937696,MMRN1,multimerin 1,33.3419886033429,Down
219059_s_at,2.95e-30,1.27e-34,-19.3159007,68.2080863,-3.33827134,LYVE1,lymphatic vessel endothelial hyaluronan receptor 1,29.5301779840218,Down
244825_at,2.95e-30,1.6199999999999998e-34,19.2543744,67.9713549,2.07690004,SHROOM4,shroom family member 4,29.5301779840218,Up
220037_s_at,1.07e-28,7.81e-33,-18.2826594,64.1681426,-3.47753983,LYVE1,lymphatic vessel endothelial hyaluronan receptor 1,27.9706162223148,Down
208025_s_at,3.31e-28,3.35e-32,17.9252112,62.7383494,5.37560888,HMGA2,high mobility group AT-hook 2,27.4801720062243,Up
228585_at,3.31e-28,3.63e-32,17.9053041,62.6582302,3.55710743,ENTPD1,ectonucleoside triphosphate diphosphohydrolase 1,27.4801720062243,Up
242344_at,3.92e-28,5.740000000000001e-32,17.7937024,62.2081135,5.96463384,GABRB2,gamma-aminobutyric acid type A receptor beta2 subunit,27.4067139329795,Up
207977_s_at,3.92e-28,5.24e-32,-17.8159503,62.2979748,-2.00952821,DPT,dermatopontin,27.4067139329795,Down
205728_at,6.48e-28,1.07e-31,17.6434524,61.5995413,4.6143558,TENM1,teneurin transmembrane protein 1,27.1884249941294,Up
214803_at,7.09e-28,1.4300000000000001e-31,17.5732547,61.3141977,3.13291361,CDH6,cadherin 6,27.1493537648169,Up
205083_at,1.4200000000000001e-27,3.13e-31,-17.3840165,60.5417461,-2.90856588,AOX1,aldehyde oxidase 1,26.8477116556169,Down
242496_at,2.0600000000000002e-27,4.89e-31,-17.2767383,60.1017549,-1.92298548,ART4,ADP-ribosyltransferase 4 (Dombrock blood group),26.6861327796308,Down
200701_at,2.3800000000000002e-27,6.11e-31,17.2236765,59.8835677,1.62796108,NPC2,NPC intracellular cholesterol transporter 2,26.6234230429435,Up
235871_at,2.7000000000000002e-27,7.4e-31,17.1777612,59.6944669,2.09533977,LIPH,lipase H,26.568636235841,Up
209612_s_at,3.03e-27,8.87e-31,-17.1345426,59.5162186,-3.48992471,ADH1B,"alcohol dehydrogenase 1B (class I), beta polypeptide",26.5185573714977,Down
207808_s_at,3.0900000000000003e-27,9.6e-31,17.1156252,59.4381192,2.63191263,PROS1,protein S (alpha),26.5100415205752,Up
219628_at,3.6300000000000006e-27,1.2000000000000001e-30,17.0635555,59.2229095,1.91138758,ZMAT3,zinc finger matrin-type 3,26.4400933749639,Up
209613_s_at,3.84e-27,1.3299999999999999e-30,-17.0375285,59.1152033,-3.77438958,ADH1B,"alcohol dehydrogenase 1B (class I), beta polypeptide",26.4156687756325,Down
205923_at,5.490000000000001e-27,2.0099999999999997e-30,-16.9401837,58.7115744,-2.53990687,RELN,reelin,26.2604276555499,Down
205954_at,5.53e-27,2.12e-30,16.9270414,58.6569857,3.73007902,RXRG,retinoid X receptor gamma,26.2572748686953,Up
222921_s_at,9.56e-27,3.8499999999999996e-30,16.7866333,58.0723563,2.64432164,HEY2,hes related family bHLH transcription factor with YRPW motif 2,26.0195421077239,Up
212850_s_at,1.63e-26,7.07e-30,16.6433859,57.4732266,4.42930771,LRP4,LDL receptor related protein 4,25.787812395596,Up
214044_at,1.63e-26,7.27e-30,-16.6366807,57.4451157,-2.3714947,RYR2,ryanodine receptor 2,25.787812395596,Down
202071_at,1.63e-26,7.43e-30,16.6315768,57.4237146,2.27277218,SDC4,syndecan 4,25.787812395596,Up
205485_at,1.72e-26,8.17e-30,16.6094283,57.3308028,2.84911476,RYR1,ryanodine receptor 1,25.7644715530925,Up
202528_at,2.66e-26,1.31e-29,16.4980717,56.8626897,2.21664376,GALE,UDP-galactose-4-epimerase,25.5751183633689,Up
1556427_s_at,2.77e-26,1.42e-29,-16.4801997,56.7874085,-1.68587343,LRRN4CL,LRRN4 C-terminal like,25.5575202309356,Down
213071_at,3.39e-26,1.8e-29,-16.4245608,56.5527746,-2.78112473,DPT,dermatopontin,25.4698003017969,Down
202609_at,3.62e-26,1.9900000000000002e-29,16.4013181,56.4546374,1.89050393,EPS8,epidermal growth factor receptor pathway substrate 8,25.4412914294668,Up
227618_at,5.31e-26,3.01e-29,16.3046833,56.0458565,2.07752181,NHSL2,NHS like 2,25.2749054789185,Up
211343_s_at,5.48e-26,3.21e-29,16.2901032,55.9840737,2.83633091,COL13A1,collagen type XIII alpha 1 chain,25.2612194415156,Up
241898_at,5.49e-26,3.32e-29,16.2822002,55.9505731,2.39194109,LIPH,lipase H,25.2604276555499,Up
210664_s_at,6.49e-26,4.0400000000000003e-29,-16.2365273,55.7568068,-2.10779085,TFPI,tissue factor pathway inhibitor,25.1877553031996,Down
203780_at,6.75e-26,4.3200000000000004e-29,16.2208352,55.6901701,2.30171034,MPZL2,myelin protein zero like 2,25.170696227169,Up
