Gene,Immune_cell,All_samples_n,All_samples_rho,All_samples_P,All_samples_BH_FDR_66_tests,All_samples_significant_FDR_lt_0.05,PTC_only_n,PTC_only_rho,PTC_only_P,PTC_only_BH_FDR_66_tests,PTC_only_significant_FDR_lt_0.05
BCL2,B cells naive,42,0.2895284292223846,0.0629155260052851,0.1977345103023246,No,27,0.0605320181354024,0.764234105352476,0.9295853396711444,No
BCL2,B cells memory,42,0.1166171397957015,0.4620517730699753,0.7260813576813898,No,27,0.0081064798699021,0.9679895932772306,0.9679895932772306,No
BCL2,Plasma cells,42,0.0602058180050239,0.7048756340375564,0.8545512808991653,No,27,0.0201465201465201,0.9205501746919,0.955595842530494,No
BCL2,T cells CD8,42,0.3028117656591849,0.0512647496381735,0.1708095953564519,No,27,0.3717948717948718,0.0561868971298769,0.6764258415349096,No
BCL2,T cells CD4 naive,42,0.1780073866785892,0.259386972341447,0.5349856304542344,No,27,,,,No
BCL2,T cells CD4 memory resting,42,-0.1095665239695856,0.4897369900987739,0.7516893336399786,No,27,-0.0906075176818907,0.6531007039257409,0.9295853396711444,No
BCL2,T cells CD4 memory activated,42,0.05153723975994,0.7458355623599774,0.8565615371743842,No,27,0.2555489643305989,0.1982595814454305,0.7180929758319669,No
BCL2,T cells follicular helper,42,0.2310185560327364,0.1410252542268886,0.3512795421852084,No,27,0.1776556776556776,0.3753337671376053,0.7929259349259195,No
BCL2,T cells regulatory (Tregs),42,0.1230188488571885,0.4376614835178727,0.7260813576813898,No,27,0.067563515191535,0.7377449866282871,0.9295853396711444,No
BCL2,T cells gamma delta,42,0.1433939432513732,0.3649632997976502,0.6882165081898547,No,27,0.0658891478713931,0.7440274690073373,0.9295853396711444,No
BCL2,NK cells resting,42,-0.1727968180037522,0.2738177226846122,0.5476354453692244,No,27,-0.0752191351240383,0.7092343657184671,0.9295853396711444,No
BCL2,NK cells activated,42,0.0121703237257537,0.939025132610169,0.953471673111864,No,27,0.0401470883091263,0.842404299124362,0.9477048365149072,No
BCL2,Monocytes,42,0.1192050698606539,0.4521050710168983,0.7260813576813898,No,27,-0.0197264314169889,0.9222018464975184,0.955595842530494,No
BCL2,Macrophages M0,42,-0.3101045296167247,0.0456484053735748,0.1708095953564519,No,27,-0.1245421245421245,0.5359589417690478,0.9215547390424784,No
BCL2,Macrophages M1,42,0.364557167166356,0.0176141451247283,0.1063939809080336,No,27,0.0787545787545787,0.696193154344846,0.9295853396711444,No
BCL2,Macrophages M2,42,-0.2530589093266348,0.1058874324729361,0.2911904393005744,No,27,-0.0177045177045177,0.9301557353857284,0.955595842530494,No
BCL2,Dendritic cells resting,42,-0.3642041583637158,0.0177323301513389,0.1063939809080336,No,27,-0.2866737936010007,0.1471291525117729,0.7180929758319669,No
BCL2,Dendritic cells activated,42,-0.2658510693831213,0.088813218050624,0.2664396541518722,No,27,-0.0429754398727259,0.8314530414507852,0.9477048365149072,No
BCL2,Mast cells resting,42,-0.0500919676801462,0.7527358963047619,0.8565615371743842,No,27,-0.0942153235918052,0.6401893320641421,0.9295853396711444,No
BCL2,Mast cells activated,42,0.0506074380245497,0.750272612792994,0.8565615371743842,No,27,0.0201277129621813,0.9206241124718452,0.955595842530494,No
BCL2,Eosinophils,42,0.3052426824503815,0.0493339494961031,0.1708095953564519,No,27,0.251789873349222,0.2051694216662762,0.7180929758319669,No
BCL2,Neutrophils,42,-0.6760296564006449,8.962243979400454e-7,0.000059150810264043,Yes,27,-0.3411456815023535,0.0816062201706425,0.6764258415349096,No
BAX,B cells naive,42,-0.1333226483218548,0.3999439785566985,0.7134135833714083,No,27,0.1892389859889602,0.344472308929687,0.7929259349259195,No
BAX,B cells memory,42,-0.3278481854633874,0.034043948381717,0.1456361160156778,No,27,-0.3688448340805479,0.0583235702619587,0.6764258415349096,No
BAX,Plasma cells,42,-0.0948869621586581,0.5500194328249164,0.8066951681432107,No,27,-0.2521367521367521,0.204525010879214,0.7180929758319669,No
BAX,T cells CD8,42,-0.2105988169516247,0.1806624703875246,0.3974574348525542,No,27,-0.2179487179487179,0.2747884952659347,0.7213198000730786,No
BAX,T cells CD4 naive,42,-0.2237340548162085,0.1543501018692582,0.3512795421852084,No,27,,,,No
BAX,T cells CD4 memory resting,42,0.119887409799426,0.4495020371910765,0.7260813576813898,No,27,0.2693486276482144,0.1742683649060552,0.7180929758319669,No
BAX,T cells CD4 memory activated,42,-0.0442171711568007,0.7809755040528639,0.8736336147032037,No,27,-0.0597288999470926,0.7672767882999921,0.9295853396711444,No
BAX,T cells follicular helper,42,-0.0616643707965318,0.6980603968208643,0.8545512808991653,No,27,0.1257631257631257,0.5319369899908163,0.9215547390424784,No
BAX,T cells regulatory (Tregs),42,-0.120335688241004,0.4477963760971576,0.7260813576813898,No,27,-0.1831246407227579,0.3605683388365447,0.7929259349259195,No
BAX,T cells gamma delta,42,-0.067014886596184,0.6732630199809343,0.8545512808991653,No,27,0.152715034318743,0.4469802590617693,0.8897493735673715,No
BAX,NK cells resting,42,-0.0161969949707777,0.9189096289847912,0.9476255548905658,No,27,-0.3754635820477209,0.0536155604058633,0.6764258415349096,No
BAX,NK cells activated,42,0.0277553425975822,0.8614880195776853,0.902511258605194,No,27,-0.1126708607385158,0.5757940655262617,0.9295853396711444,No
BAX,Monocytes,42,-0.0401679340464304,0.8006053080263987,0.8784924532691331,No,27,0.1310398658414267,0.514722354440035,0.9215547390424784,No
BAX,Macrophages M0,42,0.104124463171542,0.511678456933788,0.767517685400682,No,27,-0.3553113553113552,0.068948288404478,0.6764258415349096,No
BAX,Macrophages M1,42,-0.3906490559922211,0.0105328208941252,0.0868957723765331,No,27,-0.2759462759462759,0.1635486988577058,0.7180929758319669,No
BAX,Macrophages M2,42,0.1697593387894012,0.2824689533376467,0.548322085890726,No,27,0.0213675213675213,0.9157513880049668,0.955595842530494,No
BAX,Dendritic cells resting,42,0.4589248123313889,0.0022362890893449,0.0295190159793536,Yes,27,0.4661883736195186,0.0142461830850702,0.6764258415349096,No
BAX,Dendritic cells activated,42,0.3823133497780208,0.0124674268820764,0.0914277971352272,No,27,0.2233313842566251,0.2628124832263712,0.7213198000730786,No
BAX,Mast cells resting,42,-0.0777289153657441,0.6246433948312167,0.841356409364496,No,27,-0.1459413836029923,0.4676222232748687,0.8927333353429311,No
BAX,Mast cells activated,42,-0.0646475968139693,0.6841941755682406,0.8545512808991653,No,27,-0.0478033182851806,0.8128315151820369,0.9477048365149072,No
BAX,Eosinophils,42,-0.2490630476435628,0.1117038679415223,0.294898211365619,No,27,0.1510739240095331,0.4519361897485061,0.8897493735673715,No
BAX,Neutrophils,42,0.6271788266492082,0.00000880587251296023,0.0002905937929276,Yes,27,0.2684828829152095,0.1757106822157134,0.7180929758319669,No
FN1,B cells naive,42,-0.4410277502308466,0.0034619913942947,0.0326416331462075,Yes,27,-0.2179764087401109,0.2747260052406911,0.7213198000730786,No
FN1,B cells memory,42,-0.0841361754321189,0.5962850871692331,0.8373365053865827,No,27,0.1229482780268493,0.5412305610249477,0.9215547390424784,No
FN1,Plasma cells,42,-0.0378413418685681,0.811939994688138,0.8784924532691331,No,27,-0.1111111111111111,0.5811237318667098,0.9295853396711444,No
FN1,T cells CD8,42,-0.3340896199659671,0.0305900178986532,0.1456361160156778,No,27,-0.3479853479853479,0.0752904974565927,0.6764258415349096,No
FN1,T cells CD4 naive,42,-0.2578476008871307,0.0992246413314518,0.2847315794728617,No,27,,,,No
FN1,T cells CD4 memory resting,42,0.0863651726241044,0.5865537152371303,0.8373365053865827,No,27,0.0881335922844329,0.6620112011359551,0.9295853396711444,No
FN1,T cells CD4 memory activated,42,-0.0586594686711025,0.7121260674159712,0.8545512808991653,No,27,-0.2207701111968487,0.2684682340273439,0.7213198000730786,No
FN1,T cells follicular helper,42,-0.2055749128919861,0.191527907973112,0.4077690943943675,No,27,-0.0781440781440781,0.6984392194097958,0.9295853396711444,No
FN1,T cells regulatory (Tregs),42,-0.0809013579728371,0.6105319805074042,0.8394814731976807,No,27,0.0736778604577373,0.7149450566869865,0.9295853396711444,No
FN1,T cells gamma delta,42,-0.2261243500335397,0.1498801151581942,0.3512795421852084,No,27,-0.1958200843280657,0.3276372495092156,0.7929259349259195,No
FN1,NK cells resting,42,0.3021995478772389,0.051760483441349,0.1708095953564519,No,27,0.1889959781688022,0.3451036871371541,0.7929259349259195,No
FN1,NK cells activated,42,-0.1400025009890663,0.3765317108067115,0.6903081364789713,No,27,-0.3263569759322527,0.0966322630764156,0.6764258415349096,No
FN1,Monocytes,42,0.0083489932198123,0.95814971598339,0.95814971598339,No,27,0.1768333673451511,0.3775837785361521,0.7929259349259195,No
FN1,Macrophages M0,42,0.4700591524187667,0.0016835832769526,0.0277791240697192,Yes,27,0.296092796092796,0.1337176702069768,0.7180929758319669,No
FN1,Macrophages M1,42,-0.3308483915403938,0.0323456613509479,0.1456361160156778,No,27,-0.2222222222222222,0.2652521594580498,0.7213198000730786,No
FN1,Macrophages M2,42,0.2287496961348351,0.1450808308041318,0.3512795421852084,No,27,0.0671550671550671,0.7392760478618905,0.9295853396711444,No
FN1,Dendritic cells resting,42,0.4440030654734678,0.0032245474881964,0.0326416331462075,Yes,27,0.3281941726529027,0.0946602637388747,0.6764258415349096,No
FN1,Dendritic cells activated,42,0.3515209667416731,0.022444494128914,0.1234447177090271,No,27,0.2198088072178771,0.2706110560270809,0.7213198000730786,No
FN1,Mast cells resting,42,0.0324898640946761,0.8381520145427033,0.8922263380615874,No,27,-0.0738943714445531,0.7141419328496891,0.9295853396711444,No
FN1,Mast cells activated,42,-0.0627616053347935,0.6929488145772609,0.8545512808991653,No,27,0.015095784721636,0.9404276545538196,0.955595842530494,No
FN1,Eosinophils,42,-0.3256978315338899,0.0353057250947097,0.1456361160156778,No,27,-0.251789873349222,0.2051694216662762,0.7180929758319669,No
