Immune_cell,Control_n,PTC_n,Control_mean,PTC_mean,Control_median,PTC_median,Control_SD,PTC_SD,Raw_P,BH_FDR_22_cells,Direction_in_PTC,Significant_raw_P_lt_0.05,Significant_BH_FDR_lt_0.05
B cells memory,15,27,0.0133139975359369,0.0076660534848194,0,0,0.0216941407825118,0.0172193799967171,0.174556286391606,0.2954029462011793,Decreased,No,No
B cells naive,15,27,0.105287644389707,0.0611801321626076,0.107866555395712,0.0509113259588711,0.0624439498683478,0.0577489973457604,0.0116167085104845,0.085189195743553,Decreased,Yes,No
Dendritic cells activated,15,27,0.0003633608457093,0.0066428503634334,0,0,0.0012961387960043,0.0140065785860431,0.0583595281011189,0.1469466777049717,Increased,No,No
Dendritic cells resting,15,27,0.0170378411198664,0.0552625729087791,0.0129205676111087,0.0252178485989371,0.015952059258554,0.0690635056739215,0.0238629093574362,0.101616521580947,Increased,Yes,No
Eosinophils,15,27,0.0018472894637746,0.0002119498330158,0,0,0.0039149865683923,0.0011013236383174,0.0318250425112568,0.101616521580947,Decreased,Yes,No
Macrophages M0,15,27,0.0824899402043325,0.14928253527838,0.0790855979948562,0.130797982962904,0.0298172006340444,0.109664536785243,0.0114194063045155,0.085189195743553,Increased,Yes,No
Macrophages M1,15,27,0.173000654045628,0.132020594219765,0.178366832110341,0.135927691352109,0.0528470782267217,0.0584750501129257,0.0323325295939377,0.101616521580947,Decreased,Yes,No
Macrophages M2,15,27,0.0705755984092581,0.0908912161485095,0.0607066324294175,0.0858538234728267,0.041742374134347,0.0504272778568245,0.142960689635578,0.285921379271156,Increased,No,No
Mast cells activated,15,27,0.0054352967639844,0.0047472079398952,0,0,0.0103640143579642,0.0111214426635407,0.497230303726433,0.7292711121321018,Decreased,No,No
Mast cells resting,15,27,0.0143069242237829,0.0181946126621657,0.0031520235591822,0.0098478203261614,0.0165449710867614,0.020442440414716,0.557734862149289,0.7668854354552724,Increased,No,No
Monocytes,15,27,0.0062217743558504,0.0082197771811584,0,0,0.0097322798103075,0.0181766537095504,0.798382891291673,0.798382891291673,Increased,No,No
NK cells activated,15,27,0.0165224975679127,0.0175754712168507,0,0.0021603820436081,0.0229484649237675,0.0265572747549689,0.722927296756141,0.770956517595484,Increased,No,No
NK cells resting,15,27,0.0039768362171566,0.0140656712819562,0,0.0064598364654717,0.0071624406478746,0.0183078554590911,0.0601145499702157,0.1469466777049717,Increased,No,No
Neutrophils,15,27,0.0004920257963466,0.0087012885987601,0,0.0073077888007718,0.0019056077151552,0.0118227013849592,0.0000961132602822832,0.0021144917262102,Increased,Yes,Yes
Plasma cells,15,27,0.0690761566687563,0.073644992167433,0.0685039411072253,0.0754845353987773,0.0338161456669642,0.0490746863892103,0.735913039522962,0.770956517595484,Increased,No,No
T cells CD4 memory activated,15,27,0.0135815261570262,0.0094471926075915,0,0,0.0225716574242815,0.0206743094323225,0.676980304617756,0.770956517595484,Decreased,No,No
T cells CD4 memory resting,15,27,0.0553815986585675,0.06151981695726,0.0348606473004288,0.0514843234512394,0.0654806106592688,0.0664674654079352,0.708056466940716,0.770956517595484,Increased,No,No
T cells CD4 naive,15,27,0.0037167323097,0,0,0,0.008126677181241,0,0.0187078892119838,0.101616521580947,Decreased,Yes,No
T cells CD8,15,27,0.145554065675404,0.121734139639618,0.139988177241706,0.103729227578165,0.0494063002885443,0.0751228880217,0.17428723293326,0.2954029462011793,Decreased,No,No
T cells follicular helper,15,27,0.110076737084478,0.100319598615495,0.109149385497469,0.0960801744866989,0.0302326113845296,0.039907595299522,0.376445061558178,0.5915565253057082,Decreased,No,No
T cells gamma delta,15,27,0.0658179851484113,0.0351139409764833,0.0452016615785401,0.0214039599944427,0.0571748178709475,0.0390404298572741,0.113487086238972,0.2496715897257383,Decreased,No,No
T cells regulatory (Tregs),15,27,0.0259235173584092,0.0235583857560233,0.0273510037914056,0.0201991907528137,0.0234373023958757,0.0224957717121833,0.616754300388942,0.770956517595484,Decreased,No,No
