"Split","LASSO_selected","LASSO_best_C","LASSO_outer_AUC","SVM_RFE_selected","SVM_RFE_n_features","SVM_best_C","SVM_outer_AUC"
1,"BAX; BCL2; CDKN1A; COL1A1; CXCL8; FN1; TGFB1",316.227766016838,1,"BAX; FN1",2,0.0625,0.988888888888889
2,"BAX; BCL2; FN1",0.1,1,"BAX; BCL2; CXCL8; FN1; TGFB1",5,0.0625,1
3,"BAX; BCL2; CXCL8; FN1; TGFB1",31.6227766016838,0.977777777777778,"BAX; BCL2; CDKN1A; CXCL8; FN1; TGFB1",6,0.125,0.988888888888889
4,"BAX; BCL2; CDKN1A; FN1",0.316227766016838,1,"BAX; BCL2; FN1; TGFB1",4,1,1
5,"BAX; BCL2; FN1; TGFB1",0.1,0.888888888888889,"BAX; BCL2; CDKN1A; COL1A1; CXCL8; FN1; TGFB1",7,0.5,0.888888888888889
6,"BAX; BCL2; FN1",0.316227766016838,1,"BAX; BCL2; CXCL8; FN1",4,0.0625,1
7,"BAX; BCL2; CDKN1A; FN1; TGFB1",0.316227766016838,0.888888888888889,"BAX; BCL2; CDKN1A; COL1A1; CXCL8; FN1",6,0.0625,0.888888888888889
8,"BAX; BCL2; CDKN1A; COL1A1; CXCL8; FN1; TGFB1",3.16227766016838,1,"BAX; BCL2; CXCL8; FN1",4,0.0625,1
9,"BAX; BCL2; FN1",0.316227766016838,0.988888888888889,"BAX; BCL2; COL1A1; CXCL8; FN1; TGFB1",6,2,0.988888888888889
10,"BAX; BCL2; CDKN1A; FN1",0.1,0.975308641975309,"BCL2; FN1",2,0.0625,0.975308641975309
11,"BAX; BCL2; FN1",0.1,0.9,"BAX; BCL2",2,0.0625,0.922222222222222
12,"BAX; BCL2; COL1A1; CXCL8; FN1; TGFB1",10,0.933333333333333,"BAX; BCL2",2,0.0625,0.9
13,"BAX; BCL2; CDKN1A; FN1",0.316227766016838,1,"BAX; BCL2; FN1",3,0.0625,1
14,"BAX; BCL2; CDKN1A; FN1",0.1,0.977777777777778,"BAX; BCL2; FN1",3,0.0625,0.988888888888889
