Dataset,sample_id,tissue_type,analysis_scope,n_cells,median_nCount_RNA,median_nFeature_RNA,median_percent_mt,condition
GSE184362,PTC10_RightLN,Lymph node metastasis,Metastatic_lesion,8751,7650,2495,5.1914829583929,
GSE184362,PTC11_RightLN,Lymph node metastasis,Metastatic_lesion,7020,4158.5,1489.5,2.45426052873293,
GSE184362,PTC2_LeftLN,Lymph node metastasis,Metastatic_lesion,10413,3303,997,2.17831813576494,
GSE184362,PTC3_LeftLN,Lymph node metastasis,Metastatic_lesion,10921,1948,626,2.36861584011843,
GSE184362,PTC3_RightLN,Lymph node metastasis,Metastatic_lesion,11666,1890,594,2.23435727500556,
GSE184362,PTC5_RightLN,Lymph node metastasis,Metastatic_lesion,6257,4006,1482,1.96749358426005,
GSE184362,PTC6_RightLN,Lymph node metastasis,Metastatic_lesion,6545,2128,965,1.30731337627889,
GSE184362,PTC7_RightLN,Lymph node metastasis,Metastatic_lesion,8676,3420.5,1141,3.34746472708372,
GSE184362,PTC11_SC,Subcutaneous metastasis,Metastatic_lesion,7032,8711,2568,3.17413230495402,
GSE184362,PTC4_SC,Subcutaneous metastasis,Metastatic_lesion,3004,3634.5,1178,2.3935993606645,
GSE184362,PTC1_P,Paratumor,Primary_vs_paratumor,8972,2350,749,2.5531914893617,
GSE184362,PTC2_P,Paratumor,Primary_vs_paratumor,7702,3279.5,1155,2.15022908780222,
GSE184362,PTC3_P,Paratumor,Primary_vs_paratumor,9694,2308,698,2.23460313197354,
GSE184362,PTC5_P,Paratumor,Primary_vs_paratumor,2751,3427,1370,2.0258863252673,
GSE184362,PTC8_P,Paratumor,Primary_vs_paratumor,14431,2432,1132,3.75980524749797,
GSE184362,PTC9_P,Paratumor,Primary_vs_paratumor,7144,3769,1468,2.63746689742895,
GSE184362,PTC10_T,Primary tumor,Primary_vs_paratumor,22359,1121,683,3.44287949921753,
GSE184362,PTC1_T,Primary tumor,Primary_vs_paratumor,5916,3332,1245,2.31155123816049,
GSE184362,PTC2_T,Primary tumor,Primary_vs_paratumor,5100,2765,880,0.600894862786247,
GSE184362,PTC3_T,Primary tumor,Primary_vs_paratumor,7433,1834,755,3.18313352625052,
GSE184362,PTC5_T,Primary tumor,Primary_vs_paratumor,4475,2451,1067,1.81392627267408,
GSE184362,PTC8_T,Primary tumor,Primary_vs_paratumor,10428,3527.5,1553,4.5265319645266,
GSE184362,PTC9_T,Primary tumor,Primary_vs_paratumor,10034,5077.5,1944,3.33573753879415,
GSE191288,NT,,,5075,5615,2155,6.20179442782937,Non-tumor thyroid
GSE191288,T1L,,,3879,7450,2567,5.43087971274686,PTC
GSE191288,T1R,,,3736,5597,1753,5.4707689039932,PTC
GSE191288,T2L,,,4284,9040.5,3133,4.35777046877251,PTC
GSE191288,T2R,,,3380,9052.5,2941,4.6735111663692,PTC
GSE191288,T3L,,,4850,14491.5,4385.5,5.035649451833,PTC
GSE191288,T3R,,,6329,11194,4025,2.68273716951788,PTC
