ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0000302	response to reactive oxygen species	24/74	205/18870	2.01348781272181e-29	6.65860419667103e-26	2.57302547857293e-26	AKT1/AREG/BCL2/BECN1/CASP3/CAT/COL1A1/GPX1/HIF1A/HMOX1/IL1A/IL6/MAPK1/MAPK3/MAPK8/MMP2/NFE2L2/NOS3/RELA/RIPK1/SOD1/SOD2/SQSTM1/TNFAIP3	24
BP	GO:0006979	response to oxidative stress	28/74	400/18870	4.3124382980944e-28	7.130616725899081e-25	2.7554211020455803e-25	AKT1/AREG/BCL2/BECN1/CASP3/CAT/COL1A1/GPX1/GPX4/HIF1A/HMOX1/IL1A/IL6/MAPK1/MAPK3/MAPK8/MMP2/NFE2L2/NOS3/PTGS1/PTGS2/RELA/RIPK1/SOD1/SOD2/SQSTM1/TNFAIP3/TP53	28
BP	GO:0062197	cellular response to chemical stress	24/74	317/18870	8.758719446498651e-25	9.65502840319035e-22	3.7309071607190697e-22	AKT1/BECN1/CASP3/CAT/DDIT3/GPX1/HIF1A/HMOX1/IL6/MAPK1/MAPK3/MAPK8/MMP2/MTOR/NFE2L2/NOS3/PTGS2/RELA/RIPK1/SOD1/SOD2/SQSTM1/TNFAIP3/TP53	24
BP	GO:2001233	regulation of apoptotic signaling pathway	25/74	398/18870	8.14844618951459e-24	6.73672788718119e-21	2.60321412475545e-21	AKT1/BAX/BCL2/BECN1/DDIT3/FADD/GPX1/HIF1A/HMOX1/IL10/IL1A/IL1B/KDM1A/MCL1/MYC/NFE2L2/NOS3/PTGS2/RELA/RIPK1/SOD1/SOD2/TNF/TNFAIP3/TP53	25
BP	GO:0032496	response to lipopolysaccharide	23/74	348/18870	2.20675728917083e-22	1.45954927105759e-19	5.640007050638711e-20	AKT1/CASP3/CASP8/CASP9/CCL2/CXCL1/CXCL8/IL10/IL1A/IL1B/IL6/MAPK1/MAPK14/MAPK3/MAPK8/NFKB1/NOS3/PTGS2/RELA/SOD2/TLR9/TNF/TNFAIP3	23
BP	GO:0042542	response to hydrogen peroxide	16/74	101/18870	6.846647530862919e-22	3.4680624084015203e-19	1.34013265761605e-19	AREG/BCL2/BECN1/CASP3/CAT/COL1A1/GPX1/HMOX1/IL6/MMP2/NFE2L2/RELA/RIPK1/SOD1/SOD2/TNFAIP3	16
BP	GO:0097193	intrinsic apoptotic signaling pathway	22/74	319/18870	8.2965796596285005e-22	3.4680624084015203e-19	1.34013265761605e-19	AKT1/BAX/BCL2/BECN1/CASP3/CASP9/CDKN1A/CYCS/DDIT3/GPX1/HIF1A/IL10/KDM1A/MCL1/MYC/NFE2L2/PIK3R1/PTGS2/SOD1/SOD2/TNF/TP53	22
BP	GO:0002237	response to molecule of bacterial origin	23/74	369/18870	8.38962784010045e-22	3.4680624084015203e-19	1.34013265761605e-19	AKT1/CASP3/CASP8/CASP9/CCL2/CXCL1/CXCL8/IL10/IL1A/IL1B/IL6/MAPK1/MAPK14/MAPK3/MAPK8/NFKB1/NOS3/PTGS2/RELA/SOD2/TLR9/TNF/TNFAIP3	23
BP	GO:0048732	gland development	24/74	443/18870	2.51846534064477e-21	9.253960979458071e-19	3.57592622636579e-19	AKT1/AREG/BAX/BCL2/CDH1/CYP19A1/ESR1/FADD/GPX1/HIF1A/IL10/IL6/MAPK1/MAPK3/MMP2/NFKB1/PGR/RELA/SHH/SOD1/SOD2/TGFB1/TNF/TNFAIP3	24
BP	GO:0034599	cellular response to oxidative stress	20/74	255/18870	5.98951930496792e-21	1.98073403415289e-18	7.65397519603269e-19	AKT1/BECN1/CAT/GPX1/HIF1A/HMOX1/IL6/MAPK1/MAPK3/MAPK8/MMP2/NFE2L2/NOS3/RELA/RIPK1/SOD1/SOD2/SQSTM1/TNFAIP3/TP53	20
BP	GO:0071216	cellular response to biotic stimulus	20/74	265/18870	1.2953051331077501e-20	3.8941582501703e-18	1.50478510200269e-18	AKT1/CCL2/CXCL1/CXCL8/DDIT3/IL10/IL1A/IL1B/IL6/MAPK1/MAPK14/MAPK3/MAPK8/NFKB1/NOS3/RELA/TLR9/TNF/TNFAIP3/TP53	20
BP	GO:2001234	negative regulation of apoptotic signaling pathway	19/74	243/18870	6.86365206501748e-20	1.89150811491773e-17	7.30918737450107e-18	AKT1/BAX/BCL2/GPX1/HIF1A/HMOX1/IL10/IL1A/IL1B/KDM1A/MCL1/NFE2L2/NOS3/PTGS2/RELA/RIPK1/SOD2/TNF/TNFAIP3	19
BP	GO:0070482	response to oxygen levels	21/74	343/18870	9.663634559939501e-20	2.45827996074769e-17	9.499313648393969e-18	AKT1/BCL2/BECN1/CASP3/CASP9/CASR/CAT/CDKN1A/COL1A1/HIF1A/HMOX1/IL1A/MMP2/MTOR/MYC/NFE2L2/PTGS2/SOD2/TGFB1/TNF/TP53	21
BP	GO:0032355	response to estradiol	15/74	113/18870	2.37554391261144e-19	5.46597380422491e-17	2.11216787303775e-17	AREG/CASP3/CASP8/CASP9/CAT/COL1A1/CYP19A1/ESR1/ESR2/GPX1/GPX4/IL10/MMP2/PTGS2/TGFB1	15
BP	GO:0010038	response to metal ion	21/74	359/18870	2.47927448029554e-19	5.46597380422491e-17	2.11216787303775e-17	AKT1/BCL2/BECN1/CASP3/CASP8/CASP9/CASR/CAT/CDH1/CYP1A2/HIF1A/HMOX1/IL1A/MAPK1/MAPK3/MAPK8/NFE2L2/PTGS2/SHH/SOD2/TLR9	21
