category	subcategory	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
Human Diseases	Endocrine and metabolic disease	hsa04933	AGE-RAGE signaling pathway in diabetic complications	23/73	101/9395	1.3673360948439899e-28	3.0491594915021004e-26	7.77222622332374e-27	AKT1/BAX/BCL2/CASP3/CCL2/COL1A1/COL3A1/CXCL8/FN1/IL1A/IL1B/IL6/MAPK1/MAPK14/MAPK3/MAPK8/MMP2/NFKB1/NOS3/PIK3R1/RELA/TGFB1/TNF	23
Human Diseases	Infectious disease: viral	hsa05163	Human cytomegalovirus infection	27/73	227/9395	1.3119231584762e-25	1.46279432170096e-23	3.72862371356393e-24	AKT1/BAX/CASP3/CASP8/CASP9/CCL2/CDKN1A/CDKN2A/CXCL8/CXCR2/CYCS/FADD/IL1B/IL1R1/IL6/MAPK1/MAPK14/MAPK3/MTOR/MYC/NFKB1/PIK3R1/PTGS2/RELA/RIPK1/TNF/TP53	27
Human Diseases	Cardiovascular disease	hsa05417	Lipid and atherosclerosis	25/73	216/9395	2.38688933879993e-23	1.77425440850795e-21	4.52252716825251e-22	AKT1/BAX/BCL2/CASP3/CASP8/CASP9/CCL2/CXCL1/CXCL8/CYCS/DDIT3/IL1B/IL6/MAPK1/MAPK14/MAPK3/MAPK8/NFE2L2/NFKB1/NOS3/PIK3R1/RELA/SOD2/TNF/TP53	25
Human Diseases	Infectious disease: viral	hsa05167	Kaposi sarcoma-associated herpesvirus infection	24/73	196/9395	5.42425484044052e-23	3.02402207354559e-21	7.708151615362839e-22	AKT1/BAX/BECN1/CASP3/CASP8/CASP9/CDKN1A/CXCL1/CXCL8/CYCS/FADD/HIF1A/IL6/MAPK1/MAPK14/MAPK3/MAPK8/MTOR/MYC/NFKB1/PIK3R1/PTGS2/RELA/TP53	24
Human Diseases	Infectious disease: viral	hsa05161	Hepatitis B	22/73	163/9395	5.22275953530314e-22	2.3293507527452002e-20	5.93745294539725e-21	AKT1/BAX/BCL2/CASP3/CASP8/CASP9/CDKN1A/CXCL8/CYCS/FADD/IL6/MAPK1/MAPK14/MAPK3/MAPK8/MYC/NFKB1/PIK3R1/RELA/TGFB1/TNF/TP53	22
Environmental Information Processing	Signal transduction	hsa04668	TNF signaling pathway	19/73	119/9395	1.82672279055111e-20	6.78931970488163e-19	1.7305794857852602e-19	AKT1/CASP3/CASP8/CCL2/CXCL1/FADD/IL1B/IL6/MAPK1/MAPK14/MAPK3/MAPK8/NFKB1/PIK3R1/PTGS2/RELA/RIPK1/TNF/TNFAIP3	19
Human Diseases	Infectious disease: parasitic	hsa05142	Chagas disease	18/73	103/9395	3.75620579444092e-20	1.19661984594332e-18	3.0501520736813503e-19	AKT1/CASP8/CCL2/CXCL8/FADD/IL10/IL1B/IL6/MAPK1/MAPK14/MAPK3/MAPK8/NFKB1/PIK3R1/RELA/TGFB1/TLR9/TNF	18
Human Diseases	Infectious disease: bacterial	hsa05152	Tuberculosis	21/73	181/9395	1.34831641430027e-19	3.75843200486201e-18	9.580142943712471e-19	AKT1/BAX/BCL2/CASP3/CASP8/CASP9/CYCS/FADD/IL10/IL1A/IL1B/IL6/MAPK1/MAPK14/MAPK3/MAPK8/NFKB1/RELA/TGFB1/TLR9/TNF	21
Organismal Systems	Immune system	hsa04657	IL-17 signaling pathway	17/73	94/9395	2.50701232692934e-19	6.21181943228047e-18	1.5833762064816899e-18	CASP3/CASP8/CCL2/CXCL1/CXCL8/FADD/IL1B/IL6/MAPK1/MAPK14/MAPK3/MAPK8/NFKB1/PTGS2/RELA/TNF/TNFAIP3	17
Cellular Processes	Cell growth and death	hsa04210	Apoptosis	19/73	137/9395	2.96200628598019e-19	6.60527401773583e-18	1.68366673097822e-18	AKT1/BAX/BCL2/CASP3/CASP8/CASP9/CYCS/DDIT3/FADD/MAPK1/MAPK3/MAPK8/MCL1/NFKB1/PIK3R1/RELA/RIPK1/TNF/TP53	19
