from,to,stringId_A,stringId_B,combined_score,nscore,fscore,pscore,ascore,escore,dscore,tscore
MAPK1,FN1,9606.ENSP00000215832,9606.ENSP00000346839,0.716,0,0,0,0,0,0.5,0.455
MAPK1,RELA,9606.ENSP00000215832,9606.ENSP00000384273,0.717,0,0,0,0.049,0.189,0,0.662
MAPK1,CDKN1A,9606.ENSP00000215832,9606.ENSP00000384849,0.732,0,0,0,0,0,0,0.732
MAPK1,CXCL8,9606.ENSP00000215832,9606.ENSP00000306512,0.735,0,0,0,0.044,0,0,0.735
MAPK1,MCL1,9606.ENSP00000215832,9606.ENSP00000358022,0.74,0,0,0,0.115,0.292,0,0.618
MAPK1,MAPK8,9606.ENSP00000215832,9606.ENSP00000378974,0.747,0,0,0.066,0.079,0,0.4,0.568
MAPK1,TNF,9606.ENSP00000215832,9606.ENSP00000398698,0.757,0,0,0,0.083,0,0,0.746
MAPK1,CYCS,9606.ENSP00000215832,9606.ENSP00000307786,0.775,0,0,0,0.054,0,0.4,0.636
MAPK1,PTGS2,9606.ENSP00000215832,9606.ENSP00000356438,0.78,0,0,0,0.106,0.052,0,0.762
MAPK1,NFKB1,9606.ENSP00000215832,9606.ENSP00000226574,0.79,0,0,0,0.06,0.072,0,0.778
MAPK1,CASP8,9606.ENSP00000215832,9606.ENSP00000351273,0.839,0,0,0,0.123,0.294,0,0.761
MAPK1,CASP9,9606.ENSP00000215832,9606.ENSP00000330237,0.841,0,0,0,0.076,0.294,0.4,0.642
MAPK1,CDKN2A,9606.ENSP00000215832,9606.ENSP00000418915,0.846,0,0,0,0.049,0.35,0,0.771
MAPK1,IL6,9606.ENSP00000215832,9606.ENSP00000385675,0.936,0,0,0,0.055,0,0.4,0.897
MAPK1,ESR2,9606.ENSP00000215832,9606.ENSP00000343925,0.948,0,0,0,0,0.292,0.9,0.332
MAPK1,CASP3,9606.ENSP00000215832,9606.ENSP00000311032,0.961,0,0,0,0.1,0.045,0.9,0.599
MAPK1,BCL2,9606.ENSP00000215832,9606.ENSP00000381185,0.969,0,0,0,0.086,0.292,0.9,0.586
MAPK1,MYC,9606.ENSP00000215832,9606.ENSP00000478887,0.983,0,0,0,0,0.643,0.9,0.582
MAPK1,HIF1A,9606.ENSP00000215832,9606.ENSP00000437955,0.985,0,0,0,0.049,0.626,0.9,0.648
MAPK1,ESR1,9606.ENSP00000215832,9606.ENSP00000405330,0.987,0,0,0,0,0.625,0.9,0.681
MAPK1,AKT1,9606.ENSP00000215832,9606.ENSP00000451828,0.988,0,0,0,0.118,0.11,0.9,0.872
MAPK1,MAPK3,9606.ENSP00000215832,9606.ENSP00000263025,0.994,0,0,0.049,0.118,0.874,0.9,0.581
MAPK1,MAPK14,9606.ENSP00000215832,9606.ENSP00000229795,0.995,0,0,0.067,0.342,0.816,0.9,0.677
MAPK1,TP53,9606.ENSP00000215832,9606.ENSP00000269305,0.998,0,0,0,0.045,0.806,0.9,0.912
HMOX1,HIF1A,9606.ENSP00000216117,9606.ENSP00000437955,0.701,0,0,0,0.045,0,0,0.7
HMOX1,GPX4,9606.ENSP00000216117,9606.ENSP00000346103,0.716,0,0,0,0.059,0.07,0,0.702
HMOX1,IL10,9606.ENSP00000216117,9606.ENSP00000412237,0.726,0,0,0,0.054,0,0,0.722
HMOX1,BAX,9606.ENSP00000216117,9606.ENSP00000293288,0.729,0,0,0,0.074,0,0,0.719
HMOX1,SOD1,9606.ENSP00000216117,9606.ENSP00000270142,0.741,0,0,0,0.042,0,0,0.741
HMOX1,SOD2,9606.ENSP00000216117,9606.ENSP00000446252,0.743,0.043,0,0,0.062,0,0,0.737
HMOX1,NOS3,9606.ENSP00000216117,9606.ENSP00000297494,0.77,0,0,0,0,0.186,0,0.729
HMOX1,PTGS2,9606.ENSP00000216117,9606.ENSP00000356438,0.789,0,0,0,0.073,0,0,0.782
HMOX1,TNF,9606.ENSP00000216117,9606.ENSP00000398698,0.792,0,0,0,0.044,0,0,0.792
HMOX1,AKT1,9606.ENSP00000216117,9606.ENSP00000451828,0.796,0,0,0,0.042,0.087,0,0.786
HMOX1,CASP3,9606.ENSP00000216117,9606.ENSP00000311032,0.806,0,0,0,0.045,0,0,0.805
HMOX1,IL6,9606.ENSP00000216117,9606.ENSP00000385675,0.81,0,0,0,0.07,0,0,0.804
HMOX1,IL1B,9606.ENSP00000216117,9606.ENSP00000263341,0.817,0,0,0,0.067,0,0,0.812
HMOX1,CYCS,9606.ENSP00000216117,9606.ENSP00000307786,0.827,0,0,0,0,0,0,0.827
HMOX1,BCL2,9606.ENSP00000216117,9606.ENSP00000381185,0.856,0,0,0,0,0,0,0.856
HMOX1,NFE2L2,9606.ENSP00000216117,9606.ENSP00000380252,0.989,0,0,0,0.05,0,0.75,0.96
MMP2,CCL2,9606.ENSP00000219070,9606.ENSP00000225831,0.704,0,0,0,0.15,0,0,0.667
MMP2,CASP3,9606.ENSP00000219070,9606.ENSP00000311032,0.713,0,0,0,0.09,0,0,0.698
MMP2,BCL2,9606.ENSP00000219070,9606.ENSP00000381185,0.716,0,0,0,0,0,0,0.716
MMP2,TNF,9606.ENSP00000219070,9606.ENSP00000398698,0.729,0,0,0,0.074,0,0,0.72
MMP2,HIF1A,9606.ENSP00000219070,9606.ENSP00000437955,0.731,0,0,0,0.104,0,0,0.712
MMP2,IL1B,9606.ENSP00000219070,9606.ENSP00000263341,0.745,0,0,0,0.079,0.087,0,0.721
MMP2,FN1,9606.ENSP00000219070,9606.ENSP00000346839,0.756,0,0,0.104,0.255,0.24,0,0.577
MMP2,IL10,9606.ENSP00000219070,9606.ENSP00000412237,0.761,0,0,0,0,0,0.4,0.619
MMP2,PTGS2,9606.ENSP00000219070,9606.ENSP00000356438,0.764,0,0,0,0.079,0,0,0.755
MMP2,CDH1,9606.ENSP00000219070,9606.ENSP00000261769,0.791,0,0,0,0,0.048,0,0.79
MMP2,COL3A1,9606.ENSP00000219070,9606.ENSP00000304408,0.799,0,0,0,0.363,0.05,0,0.694
MMP2,CXCL8,9606.ENSP00000219070,9606.ENSP00000306512,0.814,0,0,0,0.042,0,0,0.814
MMP2,COL1A1,9606.ENSP00000219070,9606.ENSP00000225964,0.828,0,0,0,0.403,0.298,0,0.623
MMP2,AKT1,9606.ENSP00000219070,9606.ENSP00000451828,0.846,0,0,0,0.055,0,0,0.844
MMP2,IL6,9606.ENSP00000219070,9606.ENSP00000385675,0.847,0,0,0,0.116,0,0.4,0.734
MMP2,TGFB1,9606.ENSP00000219070,9606.ENSP00000221930,0.962,0,0,0,0.07,0.6,0.4,0.85
TGFB1,ACTA2,9606.ENSP00000221930,9606.ENSP00000224784,0.705,0,0,0,0,0,0,0.705
TGFB1,CASP3,9606.ENSP00000221930,9606.ENSP00000311032,0.706,0,0,0,0.042,0,0,0.706
TGFB1,NFKB1,9606.ENSP00000221930,9606.ENSP00000226574,0.711,0,0,0,0.126,0,0,0.683
TGFB1,MAPK3,9606.ENSP00000221930,9606.ENSP00000263025,0.721,0,0,0,0.088,0.047,0,0.705
TGFB1,COL3A1,9606.ENSP00000221930,9606.ENSP00000304408,0.748,0,0,0,0.044,0.067,0,0.74
TGFB1,IL1A,9606.ENSP00000221930,9606.ENSP00000263339,0.764,0,0,0,0.047,0,0,0.763
TGFB1,CXCL8,9606.ENSP00000221930,9606.ENSP00000306512,0.775,0,0,0,0.085,0,0,0.765
TGFB1,MYC,9606.ENSP00000221930,9606.ENSP00000478887,0.796,0,0,0,0.072,0.048,0,0.787
TGFB1,COL1A1,9606.ENSP00000221930,9606.ENSP00000225964,0.802,0,0,0,0.047,0.095,0,0.789
TGFB1,TP53,9606.ENSP00000221930,9606.ENSP00000269305,0.809,0,0,0,0.12,0.292,0,0.718
TGFB1,HIF1A,9606.ENSP00000221930,9606.ENSP00000437955,0.838,0,0,0,0.044,0.225,0,0.799
TGFB1,CDH1,9606.ENSP00000221930,9606.ENSP00000261769,0.841,0,0,0,0.051,0.133,0,0.822
TGFB1,CCL2,9606.ENSP00000221930,9606.ENSP00000225831,0.851,0,0,0,0.086,0,0,0.843
TGFB1,AKT1,9606.ENSP00000221930,9606.ENSP00000451828,0.868,0,0,0,0.104,0.126,0,0.845
TGFB1,IL1B,9606.ENSP00000221930,9606.ENSP00000263341,0.932,0,0,0,0.14,0,0,0.924
TGFB1,IL10,9606.ENSP00000221930,9606.ENSP00000412237,0.932,0,0,0,0,0,0.4,0.891
TGFB1,TNF,9606.ENSP00000221930,9606.ENSP00000398698,0.941,0,0,0,0.125,0,0,0.935
TGFB1,IL6,9606.ENSP00000221930,9606.ENSP00000385675,0.96,0,0,0,0.106,0,0.4,0.932
TGFB1,FN1,9606.ENSP00000221930,9606.ENSP00000346839,0.969,0,0,0,0.049,0,0,0.969
ACTA2,COL3A1,9606.ENSP00000224784,9606.ENSP00000304408,0.882,0,0,0,0.336,0.101,0,0.818
ACTA2,COL1A1,9606.ENSP00000224784,9606.ENSP00000225964,0.928,0,0,0,0.27,0.101,0,0.899
CCL2,AKT1,9606.ENSP00000225831,9606.ENSP00000451828,0.72,0,0,0,0,0,0,0.72
