gene,degree,weighted_degree,betweenness,closeness,eigenvector,pagerank,MCC,MNC,clustering_coefficient,component_id,component_size,rank_degree,rank_weighted_degree,rank_betweenness,rank_closeness,rank_eigenvector,rank_pagerank,rank_MCC,rank_MNC,mean_topology_rank,Candidate7,Core_candidate_gene
TP53,39,35.255,0.0546094039244724,0.790894398404457,1,0.0357365805421186,405186387,38,0.403508771929825,1,70,1,1,2,3,1,1,4,1,1.75,false,false
AKT1,37,32.53,0.0755275823768974,0.801114594218043,0.981481648648686,0.0325655648845204,407987504,37,0.466966966966967,1,70,2,2,1,1,2,2,2,2,1.75,false,false
IL6,37,32.411,0.0381340244353943,0.790966928411761,0.969764967931076,0.0322221979546766,411487380,37,0.447447447447447,1,70,2,3,9,2,3,3,1,2,3.125,false,false
BCL2,35,30.71,0.0429470566456868,0.773924357306294,0.916282531774168,0.0309480962280922,390437008,35,0.46218487394958,1,70,4,5,7,5,5,4,6,4,5,true,true
CASP3,34,29.534,0.0538689374305813,0.770588103906547,0.900488760298421,0.0295591470394642,378960897,33,0.463458110516934,1,70,6,7,3,6,6,7,7,7,6.125,false,false
TNF,35,31.621,0.0109218807848945,0.753941804434052,0.957214389626857,0.0308037732532586,406680780,35,0.47563025210084,1,70,4,4,28,7,4,5,3,4,7.375,false,false
IL1B,34,29.833,0.0362828582006664,0.774697699484658,0.893430403501425,0.0299499522352824,199383282,34,0.45632798573975,1,70,6,6,11,4,7,6,13,6,7.375,false,false
MYC,28,23.93,0.0422065901517956,0.746438191672346,0.774419299047699,0.024431713472204,342959652,28,0.542328042328042,1,70,9,9,8,9,9,10,9,9,9,false,false
NFKB1,31,27.221,0.0273972602739726,0.750065223062875,0.875814930216232,0.0265952260608848,207817362,31,0.520430107526882,1,70,8,8,15,8,8,9,11,8,9.375,false,false
HIF1A,27,22.759,0.0318400592373195,0.741162443472937,0.755246214790609,0.0233228600286656,193884961,26,0.552706552706553,1,70,10,10,13,10,11,11,14,10,11.125,false,false
MAPK3,25,21.849,0.0133283968900407,0.71362823071911,0.769276724319024,0.021811291409367,365779680,25,0.616666666666667,1,70,11,13,27,13,10,12,8,11,13.125,false,false
PTGS2,25,20.704,0.0177711958533876,0.722535786464496,0.727077830901066,0.0207164908097742,394914246,25,0.633333333333333,1,70,11,15,24,12,14,15,5,11,13.375,false,false
ESR1,25,22.593,0.0496112550907071,0.698324022346369,0.63004588833515,0.0271490451297583,4164413,24,0.426666666666667,1,70,11,11,6,17,20,8,24,14,13.875,false,false
RELA,25,21.868,0.0175860792299148,0.694787083001883,0.736081271088834,0.0216860569118804,29943072,25,0.563333333333333,1,70,11,12,25,18,13,13,18,11,15.125,false,false
IL10,24,20.023,0.0373935579415031,0.730174183580605,0.635644743440942,0.0204632010464097,24927888,24,0.572463768115942,1,70,15,17,10,11,18,17,19,14,15.125,false,false
MAPK1,24,20.759,0.0088855979266938,0.70390924671509,0.740430722398491,0.0207118915396099,211277760,24,0.655797101449275,1,70,15,14,29,15,12,16,10,14,15.625,false,false
MAPK8,24,20.605,0.0216586449463162,0.710278449740079,0.648873458489826,0.0216526615993774,3116532,24,0.503623188405797,1,70,15,16,20,14,15,14,26,14,16.75,false,false
CASP9,22,18.535,0.007774898185857,0.685911964690445,0.645944453371109,0.0184579301657527,201707280,22,0.67965367965368,1,70,18,20,31,21,16,22,12,18,19.75,false,false
CXCL8,22,19.371,0.0175860792299148,0.686710655957962,0.63014319575148,0.0193743216255412,17626320,22,0.632034632034632,1,70,18,18,25,20,19,20,20,18,19.75,true,false
MAPK14,20,17.696,0.0277674935209182,0.673926844752649,0.597269150746561,0.0202030719000926,90730567,19,0.605263157894737,1,70,22,21,14,24,21,18,16,23,19.875,false,false
TGFB1,20,16.631,0.0510921880784894,0.680292229879617,0.538158286760575,0.0182574853463868,8880774,20,0.605263157894737,1,70,22,23,5,22,22,23,21,21,19.875,true,false
CASP8,22,19.311,0.0066641984450203,0.673676810872558,0.638775785550664,0.0192875264338961,121776762,22,0.614718614718615,1,70,18,19,32,25,17,21,15,18,20.625,false,false
FN1,21,17.471,0.0268419104035542,0.703349574932213,0.523113764904337,0.019788479075671,1382595,20,0.5,1,70,21,22,16,16,23,19,28,21,20.75,true,true
CYCS,19,16.147,0.0205479452054795,0.660729675380638,0.510652901524419,0.0170896574426189,40405804,19,0.584795321637427,1,70,24,24,21,27,24,24,17,23,23,false,false
MTOR,17,13.891,0.0351721584598297,0.692117880714988,0.458217068495517,0.0164353466066773,1149193,16,0.588235294117647,1,70,25,27,12,19,28,25,29,27,24,false,false
NFE2L2,17,13.633,0.0203628285820067,0.676463956235723,0.419665541686095,0.0151979711333236,410064,17,0.507352941176471,1,70,25,28,22,23,29,27,31,25,26.25,false,false
IL1A,17,15.09,0.0083302480562754,0.623757005966371,0.490747025555553,0.0154836578850926,4213440,17,0.713235294117647,1,70,25,25,30,32,26,26,23,25,26.5,false,false
MMP2,16,12.506,0.0203628285820067,0.66760195442891,0.410211325030469,0.0140307300145392,1497192,16,0.666666666666667,1,70,28,31,22,26,30,30,27,27,27.625,false,false
HMOX1,16,12.608,0.0222139948167345,0.657412083043532,0.382276408889192,0.0145431000727822,373126,16,0.525,1,70,28,30,18,28,32,29,32,27,28,false,false
CCL2,16,14.387,0.0003702332469455,0.629901132909139,0.491343557607548,0.0147869546337208,5216400,16,0.783333333333333,1,70,28,26,52,31,25,28,22,27,29.875,false,false
CDKN1A,15,12.746,0.0014809329877823,0.637519402764432,0.460834308521689,0.0133932698158879,188160,15,0.733333333333333,1,70,31,29,45,29,27,31,35,31,32.25,true,false
CDKN2A,13,11.207,0.0062939651980747,0.615291327067468,0.379666249294919,0.0123923564064598,26292,13,0.692307692307692,1,70,32,34,33,35,33,34,39,32,34,false,false
FADD,13,10.923,0.0040725657164013,0.620509177240803,0.368685072338143,0.0118169421400407,47004,13,0.692307692307692,1,70,32,36,38,33,35,37,37,32,35,false,false
BECN1,13,11.604,0.0022213994816734,0.594668666132327,0.36525817212021,0.0125915147089945,373009,12,0.666666666666667,1,70,32,32,43,37,36,33,33,35,35.125,false,false
MCL1,13,11.176,0,0.609185457242244,0.388777030094978,0.0119170411362993,564480,13,0.833333333333333,1,70,32,35,55,36,31,36,30,32,35.875,false,false
CDH1,12,9.764,0.0037023324694557,0.631879704756497,0.358052507774499,0.0109162664385736,16968,12,0.757575757575758,1,70,36,38,40,30,37,39,40,35,36.875,false,false
CXCL1,12,11.223,0.0007404664938911,0.542077807805921,0.379450392249915,0.0119263480598376,3674160,12,0.878787878787879,1,70,36,33,49,49,34,35,25,35,37,false,false
SQSTM1,12,10.809,0.0040725657164013,0.589330554654003,0.278495723208489,0.0127738500097321,200,12,0.424242424242424,1,70,36,37,38,39,41,32,45,35,37.875,false,false
PGR,9,7.602,0.0059237319511292,0.61877858488028,0.226136964588917,0.0100677230425321,368,9,0.583333333333333,1,70,41,42,35,34,44,42,43,40,40.125,false,false
IL1R1,10,8.855,0.0024065161051462,0.542171514780067,0.293222861980168,0.0100038632704276,80641,9,0.777777777777778,1,70,39,39,42,48,39,43,36,40,40.75,false,false
BAX,10,8.794,0.0003702332469455,0.588792463456468,0.304430136400759,0.009863806943767,363000,10,0.888888888888889,1,70,39,40,52,40,38,45,34,39,40.875,true,true
TNFAIP3,9,7.597,0.0011106997408367,0.592406889091128,0.27869965560447,0.008746667137024,936,9,0.75,1,70,41,43,47,38,40,49,42,40,42.5,false,false
SOD2,8,6.41,0.021843761569789,0.587589096390159,0.117500376479544,0.0099577466184174,28,8,0.392857142857143,1,70,44,47,19,41,53,44,51,43,42.75,false,false
ESR2,8,7.212,0.0055534987041836,0.56132700959137,0.208685246916546,0.0103040788630287,246,8,0.607142857142857,1,70,44,45,36,44,46,41,44,43,42.875,false,false
TLR9,9,7.797,0.0007404664938911,0.554105601284883,0.272039021466474,0.0088973859199293,40321,8,0.777777777777778,1,70,41,41,49,45,42,46,38,43,43.125,false,false
CYP19A1,6,5.223,0.0522028878193262,0.543118919429489,0.0885406788039454,0.0111377375374586,11,5,0.333333333333333,1,70,49,50,4,47,56,38,55,49,43.5,false,false
SOD1,8,6.871,0.0062939651980747,0.561400082989577,0.118421033986401,0.0105534450519835,22,8,0.357142857142857,1,70,44,46,33,43,52,40,53,43,44.25,false,false
RIPK1,8,7.573,0,0.536518229956379,0.238658528818486,0.0088629837349047,132,8,0.714285714285714,1,70,44,44,55,52,43,47,46,43,46.75,false,false
PIK3R1,6,5.451,0.0033320992225101,0.540134329059227,0.168552111046644,0.0074198387962322,31,5,0.533333333333333,1,70,49,49,41,50,47,53,47,49,48.125,false,false
CXCR2,7,6.237,0,0.52827819589168,0.214369520545106,0.007494553871756,5040,7,1,1,70,48,48,55,54,45,52,41,48,48.875,false,false
NOS3,5,3.959,0.0022213994816734,0.584240741054343,0.147491987213601,0.0057287152309243,30,5,0.8,1,70,51,54,43,42,48,57,48,49,49,false,false
H2AX,5,4.144,0.005183265457238,0.52780136310439,0.124125100382366,0.0064487251370179,13,4,0.5,1,70,51,53,37,55,51,54,54,54,51.125,false,false
COL1A1,5,4.531,0,0.477122330016526,0.0696795791838831,0.0077702982448036,30,5,0.8,1,70,51,51,55,61,58,50,48,49,52.875,true,false
COL3A1,5,4.356,0,0.487198678208804,0.0664776023294522,0.0075483201194182,30,5,0.8,1,70,51,52,55,59,59,51,48,49,53,false,false
GPT,4,3.107,0,0.538751034558146,0.137514158229404,0.0047555367080565,24,4,1,1,70,55,57,55,51,49,63,52,54,54.5,false,false
KDM1A,4,3.532,0.0011106997408367,0.502549162418063,0.116565573251564,0.0059486599269658,7,3,0.5,1,70,55,56,47,58,54,55,57,57,54.875,false,false
GPX4,4,3.087,0.0007404664938911,0.544018165476134,0.0608556676645179,0.0056056618951373,7,3,0.5,1,70,55,58,49,46,60,58,57,57,55,false,false
DDIT3,4,3.624,0,0.526826139738725,0.12835191937589,0.0054163318666546,8,4,0.666666666666667,1,70,55,55,55,56,50,60,56,54,55.125,false,false
CYP17A1,2,1.9,0.0251758607922991,0.36101083032491,0.0043795891365732,0.0087860820179511,2,1,0,1,70,64,64,17,69,69,48,64,64,57.375,false,false
PTGS1,3,2.402,0,0.523246555293511,0.103825839567037,0.0041613133091832,6,3,1,1,70,59,62,55,57,55,66,59,57,58.75,false,false
MFN2,3,2.759,0,0.476463398634138,0.0800522823085265,0.0046601065520364,4,3,0.666666666666667,1,70,59,59,55,62,57,64,62,57,59.375,false,false
SHBG,3,2.257,0,0.480739084087536,0.0348569046771735,0.005180370316623,6,3,1,1,70,59,63,55,60,63,61,59,57,59.625,false,false
ACTA2,3,2.515,0,0.465533643239304,0.025551041322966,0.0054298472283911,6,3,1,1,70,59,60,55,64,65,59,59,57,59.75,false,false
HDAC4,3,2.411,0.0014809329877823,0.459748670726669,0.0455743854167672,0.0049548627666941,3,1,0,1,70,59,61,45,65,62,62,63,64,60.125,false,false
SHH,2,1.416,0.0003702332469455,0.532341686211579,0.0510764966126948,0.0034049770423577,2,1,0,1,70,64,66,52,53,61,67,64,64,61.375,false,false
CAT,2,1.828,0,0.400475927914333,0.0109604041217826,0.0045202151898746,2,2,1,1,70,64,65,55,68,68,65,64,63,64,false,false
CYP1A2,1,0.929,0,0.27133093723211,0.0002068002093528,0.0057716832719535,1,1,0,1,70,67,69,55,70,70,56,67,64,64.75,false,false
CDC25B,1,0.951,0,0.413042567328932,0.0288703793850775,0.00304301392246,1,1,0,1,70,67,68,55,66,64,69,67,64,65,false,false
SGK1,1,0.992,0,0.412802871672151,0.0231038749319079,0.0031177861673728,1,1,0,1,70,67,67,55,67,66,68,67,64,65.125,false,false
CYP2D6,1,0.712,0,0.468673585828397,0.022801008977974,0.0028473843876165,1,1,0,1,70,67,70,55,63,67,70,67,64,65.375,false,false
AREG,0,0,0,,3.3593968639330303e-19,0.0021201413427561,0,0,0,2,1,71,71,55,71,71,71,71,71,69,false,false
CASR,0,0,0,,3.3593968639330303e-19,0.0021201413427561,0,0,0,3,1,71,71,55,71,71,71,71,71,69,false,false
GPX1,0,0,0,,3.3593968639330303e-19,0.0021201413427561,0,0,0,4,1,71,71,55,71,71,71,71,71,69,false,false
ID1,0,0,0,,3.3593968639330303e-19,0.0021201413427561,0,0,0,5,1,71,71,55,71,71,71,71,71,69,false,false
MKI67,0,0,0,,3.3593968639330303e-19,0.0021201413427561,0,0,0,6,1,71,71,55,71,71,71,71,71,69,false,false
